Code;Bahnhof_Haltestelle;Bezugsjahr;DTV;DWV;Eigner;Bemerkung;geopos;lod
NOU;Nieder- und Oberurnen;2014-01-01;470;560.0;SBB;;47.122362606, 9.0623744371;http://lod.opentransportdata.swiss/didok/8503226
NW;Niederweningen;2014-01-01;780;920.0;SBB;;47.5111974542, 8.36960718376;http://lod.opentransportdata.swiss/didok/8503319
OF;Otelfingen;2014-01-01;1300;1500.0;SBB;;47.4549348839, 8.38750753521;http://lod.opentransportdata.swiss/didok/8503528
NR;Niederried;2014-01-01;150;160.0;ZB;;46.7164243262, 7.92866950781;http://lod.opentransportdata.swiss/didok/8508302
NEB;Nebikon;2014-01-01;1300;1600.0;SBB;;47.192373647, 7.97744173598;http://lod.opentransportdata.swiss/didok/8502005
NEY;Neyruz;2014-01-01;450;580.0;CFF;;46.7660458572, 7.06503067751;http://lod.opentransportdata.swiss/didok/8504027
AW;Amriswil;2014-01-01;3000;3300.0;SBB;Aus erhebungstechnischen Gründen ist die Aussagekraft der Angabe 2016 eingeschränkt und somit ein Vergleich mit der Angabe 2014 nicht sinnvoll.;47.5504471564, 9.30221759023;http://lod.opentransportdata.swiss/didok/8506109
BEX;Bex;2014-01-01;1800;2000.0;CFF;Ohne TPC.;46.2514595964, 7.00067755704;http://lod.opentransportdata.swiss/didok/8501402
BON;Bonstetten-Wettswil;2014-01-01;3600;4200.0;SBB;;47.3258957392, 8.46817514105;http://lod.opentransportdata.swiss/didok/8502222
ARBS;Arbon Seemoosriet;2014-01-01;430;460.0;SBB;;47.5215190263, 9.42429272006;http://lod.opentransportdata.swiss/didok/8516270
BLGK;Baldegg Kloster;2014-01-01;450;610.0;SBB;;47.1806078267, 8.28057856573;http://lod.opentransportdata.swiss/didok/8516353
BAAL;Baar Lindenpark;2014-01-01;1100;1400.0;SBB;;47.1831330124, 8.5170440227;http://lod.opentransportdata.swiss/didok/8515993
BSC;Bassecourt;2014-01-01;1000;1200.0;CFF;;47.3366812155, 7.24684027661;http://lod.opentransportdata.swiss/didok/8500122
BONI;Boniswil;2014-01-01;320;360.0;SBB;;47.3150345145, 8.1845453245;http://lod.opentransportdata.swiss/didok/8502032
BIL;Bilten;2014-01-01;320;360.0;SBB;;47.1521909901, 9.02990001736;http://lod.opentransportdata.swiss/didok/8503224
BAE;Bäch;2014-01-01;440;510.0;SBB;;47.2009791623, 8.72716324608;http://lod.opentransportdata.swiss/didok/8503208
REN;Renens VD;2014-01-01;17500;21100.0;CFF;Ohne TSOL.;46.5370287879, 6.57893884264;http://lod.opentransportdata.swiss/didok/8501118
PRSR;Pratteln Salina Raurica;2014-01-01;950;1100.0;SBB;;47.5305742249, 7.70986947527;http://lod.opentransportdata.swiss/didok/8517131
REB;Rebstein-Marbach;2014-01-01;230;260.0;SBB;;47.3926373927, 9.58675061708;http://lod.opentransportdata.swiss/didok/8506318
PRMA;Prilly-Malley;2014-01-01;2600;3200.0;CFF;;46.5266893352, 6.60262941596;http://lod.opentransportdata.swiss/didok/8518452
RAET;Räterschen;2014-01-01;590;670.0;SBB;;47.4986756956, 8.79499713285;http://lod.opentransportdata.swiss/didok/8506015
PUN;Pully-Nord;2014-01-01;840;1100.0;CFF;;46.5146692019, 6.65798812442;http://lod.opentransportdata.swiss/didok/8504000
HET;Hettlingen;2016-01-01;;;SBB;Aus erhebungstechnischen Gründen steht die Angabe 2016 nicht zur Verfügung.;47.5454376137, 8.69481326415;http://lod.opentransportdata.swiss/didok/8506045
HUCH;Hünenberg Chämleten;2016-01-01;230;250.0;SBB;;47.1691518563, 8.44989778178;http://lod.opentransportdata.swiss/didok/8502306
HUZY;Hünenberg Zythus;2016-01-01;1300;1500.0;SBB;;47.17360308, 8.45007424526;http://lod.opentransportdata.swiss/didok/8515996
GS;Grenchen Süd;2016-01-01;4700;5500.0;SBB;;47.1887666151, 7.39817426522;http://lod.opentransportdata.swiss/didok/8500202
GREL;Grellingen;2016-01-01;1500;1700.0;SBB;;47.4412906001, 7.59198326877;http://lod.opentransportdata.swiss/didok/8500115
GRV;Grandvaux;2016-01-01;580;700.0;CFF;;46.4969419201, 6.72264722367;http://lod.opentransportdata.swiss/didok/8504011
GRS;Grandson;2016-01-01;600;690.0;CFF;;46.8062699548, 6.6419368926;http://lod.opentransportdata.swiss/didok/8504201
REUT;Reutlingen;2016-01-01;260;290.0;SBB;Aus erhebungstechnischen Gründen sind sowohl die Aussagekraft der Angabe 2014 als auch diejenige der Angabe 2016 eingeschränkt und somit ein Vergleich der beiden Angaben nicht sinnvoll.;47.5296543857, 8.75213281727;http://lod.opentransportdata.swiss/didok/8506036
RIK;Rickenbach-Attikon;2016-01-01;1200;1400.0;SBB;Aus erhebungstechnischen Gründen ist die Aussagekraft der Angabe 2016 eingeschränkt und somit ein Vergleich mit der Angabe 2014 nicht sinnvoll.;47.5353542711, 8.7891594117;http://lod.opentransportdata.swiss/didok/8506018
REU;Reuchenette-Péry;2016-01-01;460;540.0;CFF;;47.1897281967, 7.24701400432;http://lod.opentransportdata.swiss/didok/8504302
PUI;Puidoux-Chexbres;2016-01-01;2300;2700.0;CFF;;46.493832083, 6.76568624893;http://lod.opentransportdata.swiss/didok/8504012
REG;Regensdorf-Watt;2016-01-01;7000;8100.0;SBB;;47.4365626396, 8.47206501622;http://lod.opentransportdata.swiss/didok/8503526
PRMA;Prilly-Malley;2016-01-01;3000;3600.0;CFF;;46.5266893352, 6.60262941596;http://lod.opentransportdata.swiss/didok/8518452
PF;Pfäffikon SZ;2016-01-01;14300;16200.0;SBB;;47.2029974467, 8.77811068503;http://lod.opentransportdata.swiss/didok/8503209
RI;Richterswil;2016-01-01;4600;5200.0;SBB;;47.2083677131, 8.70746042267;http://lod.opentransportdata.swiss/didok/8503207
RF;Rheinfelden;2016-01-01;8600;9800.0;SBB;;47.5512096146, 7.79215393064;http://lod.opentransportdata.swiss/didok/8500301
PU;Pully;2016-01-01;2000;2300.0;CFF;;46.5109189922, 6.65946254087;http://lod.opentransportdata.swiss/didok/8501121
OP;Opfikon;2016-01-01;2400;2900.0;SBB;Aus erhebungstechnischen Gründen ist die Aussagekraft der Angabe 2014 eingeschränkt und somit ein Vergleich mit der Angabe 2016 nicht sinnvoll.;47.4299514492, 8.56176987445;http://lod.opentransportdata.swiss/didok/8503340
NESE;Neuchâtel-Serrières;2016-01-01;640;770.0;CFF;;46.9839549788, 6.90335823773;http://lod.opentransportdata.swiss/didok/8504220
NOU;Nieder- und Oberurnen;2016-01-01;390;440.0;SBB;;47.122362606, 9.0623744371;http://lod.opentransportdata.swiss/didok/8503226
PALV;Palézieux-Village;2016-01-01;120;140.0;CFF;;46.5572387745, 6.82834014222;http://lod.opentransportdata.swiss/didok/8504016
NID;Nidfurn-Haslen;2016-01-01;160;170.0;SBB;;46.9858964537, 9.05925879887;http://lod.opentransportdata.swiss/didok/8503234
ORD;Oberrieden;2016-01-01;1200;1400.0;SBB;;47.2796754088, 8.57844974795;http://lod.opentransportdata.swiss/didok/8503203
NG;Niederglatt;2016-01-01;1300;1500.0;SBB;;47.4874689477, 8.50329612568;http://lod.opentransportdata.swiss/didok/8503313
ORT;Oberriet;2016-01-01;410;480.0;SBB;;47.3234789515, 9.57136707107;http://lod.opentransportdata.swiss/didok/8509400
OSS;Ossingen;2016-01-01;450;530.0;SBB;;47.6146106042, 8.72409330368;http://lod.opentransportdata.swiss/didok/8506023
OR;Oron;2016-01-01;50;50.0;CFF;;46.5725335165, 6.83710274179;http://lod.opentransportdata.swiss/didok/8504020
SKY;Sennhof-Kyburg;2016-01-01;;;SBB;Aus erhebungstechnischen Gründen steht die Angabe 2016 nicht zur Verfügung.;47.4651737084, 8.76033034905;http://lod.opentransportdata.swiss/didok/8506003
SCHI;Schindellegi-Feusisberg;2016-01-01;790;930.0;SOB;;47.1764022814, 8.70936729896;http://lod.opentransportdata.swiss/didok/8503285
SCH;Schachen (Herisau);2016-01-01;130;150.0;SOB;;47.3855558378, 9.24351404559;http://lod.opentransportdata.swiss/didok/8506291
SIE;Sierre/Siders;2016-01-01;6300;7100.0;CFF;;46.2921149792, 7.53283036255;http://lod.opentransportdata.swiss/didok/8501509
SCHL;Schlieren;2016-01-01;11000;13000.0;SBB;;47.3991743125, 8.44722881452;http://lod.opentransportdata.swiss/didok/8503509
SCHT;Schlatt;2016-01-01;280;320.0;SBB;;47.6795011585, 8.68749675648;http://lod.opentransportdata.swiss/didok/8503427
SY;Satigny;2016-01-01;1700;2100.0;CFF;;46.2142202175, 6.0375091428;http://lod.opentransportdata.swiss/didok/8501003
SINS;Sins;2016-01-01;1100;1300.0;SBB;;47.188308281, 8.39780794584;http://lod.opentransportdata.swiss/didok/8502218
UER;Uerikon;2016-01-01;1900;2200.0;SBB;Aus erhebungstechnischen Gründen ist die Aussagekraft der Angabe 2014 eingeschränkt und somit ein Vergleich mit der Angabe 2016 nicht sinnvoll.;47.2358565197, 8.75261073401;http://lod.opentransportdata.swiss/didok/8503108
TAEG;Tägerwilen-Gottlieben;2016-01-01;;;SBB;Aus erhebungstechnischen Gründen steht die Angabe 2016 nicht zur Verfügung.;47.6596173652, 9.13295927882;http://lod.opentransportdata.swiss/didok/8506132
TAEN;Tägerschen;2016-01-01;;;THURBO;Aus erhebungstechnischen Gründen steht die Angabe 2016 nicht zur Verfügung.;47.5093655501, 9.02478054512;http://lod.opentransportdata.swiss/didok/8506168
VZ;Villaz-St-Pierre;2016-01-01;320;400.0;CFF;;46.7205784272, 6.96063985388;http://lod.opentransportdata.swiss/didok/8504024
VTE;Villette VD;2016-01-01;110;120.0;CFF;;46.4953325352, 6.70728469954;http://lod.opentransportdata.swiss/didok/8501123
VAL;Vallorbe;2016-01-01;870;1000.0;CFF;;46.7123977825, 6.37056465514;http://lod.opentransportdata.swiss/didok/8501103
TUR;Turtmann;2016-01-01;290;330.0;SBB;;46.3093240882, 7.69960071796;http://lod.opentransportdata.swiss/didok/8501602
TRI;Trimbach;2016-01-01;80;90.0;SBB;;47.3660466339, 7.90427743742;http://lod.opentransportdata.swiss/didok/8500037
UET;Uetikon;2016-01-01;4500;5400.0;SBB;;47.2590294057, 8.678774746;http://lod.opentransportdata.swiss/didok/8503105
UZ;Uznach;2016-01-01;7500;8500.0;SBB;;47.2242754695, 8.98067539571;http://lod.opentransportdata.swiss/didok/8503116
SOAD;Solothurn Allmend;2016-01-01;400;460.0;SBB;;47.2088750961, 7.52142884826;http://lod.opentransportdata.swiss/didok/8518963
STS;Stein-Säckingen;2016-01-01;3100;3800.0;SBB;;47.5415967349, 7.94882272396;http://lod.opentransportdata.swiss/didok/8500320
STB;Steinebrunn;2016-01-01;120;140.0;SOB;;47.5315345098, 9.34983964909;http://lod.opentransportdata.swiss/didok/8506397
STMR;Steinmaur;2016-01-01;1100;1300.0;SBB;;47.4899801946, 8.4468407224;http://lod.opentransportdata.swiss/didok/8503316
SM;St-Maurice;2016-01-01;5000;5900.0;CFF;;46.216363536, 7.00204915835;http://lod.opentransportdata.swiss/didok/8501403
SOM;Sommerau;2016-01-01;50;50.0;SBB;;47.4390111569, 7.85146338126;http://lod.opentransportdata.swiss/didok/8500032
STI;St-Imier;2016-01-01;1800;2200.0;CFF;;47.151698154, 7.00121493749;http://lod.opentransportdata.swiss/didok/8504310
STAE;Stäfa;2016-01-01;5400;6300.0;SBB;;47.2405237212, 8.72163122186;http://lod.opentransportdata.swiss/didok/8503107
SS;Sursee;2016-01-01;12000;14000.0;SBB;;47.1707889132, 8.09787795205;http://lod.opentransportdata.swiss/didok/8502007
STG;Steg;2016-01-01;210;210.0;SBB;;47.3538535176, 8.93235901657;http://lod.opentransportdata.swiss/didok/8503135
ZHDB;Zürich Hardbrücke;2016-01-01;47100;56000.0;SBB;;47.3851946908, 8.51710646094;http://lod.opentransportdata.swiss/didok/8503020
ZFH;Zürich Flughafen;2016-01-01;47200;48900.0;SBB;;47.4503820775, 8.56238666028;http://lod.opentransportdata.swiss/didok/8503016
ZSEB;Zürich Seebach;2016-01-01;1400;1600.0;SBB;;47.4187469105, 8.54463614173;http://lod.opentransportdata.swiss/didok/8503007
KMUE;Zug Chollermüli;2016-01-01;630;700.0;SBB;;47.1804713352, 8.48576089261;http://lod.opentransportdata.swiss/didok/8502230
ZGSE;Zug Schutzengel;2016-01-01;1200;1300.0;SBB;;47.1737252745, 8.50722421468;http://lod.opentransportdata.swiss/didok/8516187
ZGPP;Zug Postplatz;2016-01-01;140;160.0;SBB;;47.168273486, 8.51691604796;http://lod.opentransportdata.swiss/didok/8502300
ZEN;Zürich Enge;2016-01-01;14900;18600.0;SBB;;47.3640983597, 8.53080595476;http://lod.opentransportdata.swiss/didok/8503010
WWAL;Winterthur Wallrüti;2014-01-01;1300;1500.0;SBB;Aus erhebungstechnischen Gründen sind sowohl die Aussagekraft der Angabe 2014 als auch diejenige der Angabe 2016 eingeschränkt und somit ein Vergleich der beiden Angaben nicht sinnvoll.;47.516719, 8.76086862997;http://lod.opentransportdata.swiss/didok/8506038
ZWD;Zweidlen;2014-01-01;100;120.0;SBB;Aus erhebungstechnischen Gründen steht die Angabe 2016 nicht zur Verfügung.;47.5704402649, 8.46789206212;http://lod.opentransportdata.swiss/didok/8503405
ZUE;Zürich HB;2014-01-01;396300;441400.0;SBB;"Umfasst auch ZLOE, ZMUS und ZUSZ; ohne Uetlibergbahn der SZU.";47.3781765756, 8.54019221036;http://lod.opentransportdata.swiss/didok/8503000
ZHDB;Zürich Hardbrücke;2014-01-01;47200;56600.0;SBB;;47.3851946908, 8.51710646094;http://lod.opentransportdata.swiss/didok/8503020
WBOL;Wangen bei Olten;2014-01-01;790;940.0;SBB;;47.3413970205, 7.86834787109;http://lod.opentransportdata.swiss/didok/8500216
ZGFR;Zug Fridbach;2014-01-01;260;310.0;SBB;;47.1565775965, 8.51227569316;http://lod.opentransportdata.swiss/didok/8515994
WAE;Wädenswil;2014-01-01;16200;18700.0;SBB;;47.2293011038, 8.67519275897;http://lod.opentransportdata.swiss/didok/8503206
YND;Yvonand;2014-01-01;460;520.0;CFF;;46.8008635427, 6.74668648053;http://lod.opentransportdata.swiss/didok/8504130
ZIM;Zimeysa;2014-01-01;730;1000.0;CFF;;46.2212609654, 6.06574042511;http://lod.opentransportdata.swiss/didok/8501000
AD;Aadorf;2016-01-01;1700;2000.0;SBB;;47.4881178542, 8.90328450849;http://lod.opentransportdata.swiss/didok/8506013
SEU;Seuzach;2014-01-01;1800;2200.0;SBB;Aus erhebungstechnischen Gründen sind sowohl die Aussagekraft der Angabe 2014 als auch diejenige der Angabe 2016 eingeschränkt und somit ein Vergleich der beiden Angaben nicht sinnvoll.;47.5357677342, 8.73886853866;http://lod.opentransportdata.swiss/didok/8506020
SLF;Schloss Laufen am Rheinfall;2014-01-01;370;320.0;SBB;Aus erhebungstechnischen Gründen ist die Aussagekraft der Angabe 2014 eingeschränkt und somit ein Vergleich mit der Angabe 2016 nicht sinnvoll.;47.6765598478, 8.61424692042;http://lod.opentransportdata.swiss/didok/8506039
SCWE;Schwerzenbach ZH;2014-01-01;11400;13600.0;SBB;Aus erhebungstechnischen Gründen ist die Aussagekraft der Angabe 2014 eingeschränkt und somit ein Vergleich mit der Angabe 2016 nicht sinnvoll.;47.3843802387, 8.6586595992;http://lod.opentransportdata.swiss/didok/8503127
SH;Schaffhausen;2014-01-01;17000;19200.0;SBB;Ohne DB.;47.6982814692, 8.6327284859;http://lod.opentransportdata.swiss/didok/8503424
SCH;Schachen (Herisau);2014-01-01;130;150.0;SOB;;47.3855558378, 9.24351404559;http://lod.opentransportdata.swiss/didok/8506291
SBAD;Schinznach Bad;2014-01-01;530;600.0;SBB;;47.4517752695, 8.16692832223;http://lod.opentransportdata.swiss/didok/8502116
SCHD;Schwanden;2014-01-01;1300;1500.0;SBB;;46.9968482066, 9.07744743355;http://lod.opentransportdata.swiss/didok/8503233
SCHT;Schlatt;2014-01-01;270;310.0;SBB;;47.6795011585, 8.68749675648;http://lod.opentransportdata.swiss/didok/8503427
SCHW;Schwyz;2014-01-01;2700;3100.0;SBB;;47.0263942922, 8.63213946703;http://lod.opentransportdata.swiss/didok/8505006
SAX;Saxon;2014-01-01;890;1100.0;CFF;;46.149376272, 7.17343442478;http://lod.opentransportdata.swiss/didok/8501502
STM;Stammheim;2014-01-01;560;640.0;SBB;Aus erhebungstechnischen Gründen ist die Aussagekraft der Angabe 2016 eingeschränkt und somit ein Vergleich mit der Angabe 2014 nicht sinnvoll.;47.6348793716, 8.78872663664;http://lod.opentransportdata.swiss/didok/8506024
TAEM;Tägerwilen Dorf;2014-01-01;270;310.0;THURBO;Aus erhebungstechnischen Gründen steht die Angabe 2016 nicht zur Verfügung.;47.6537189524, 9.13954723327;http://lod.opentransportdata.swiss/didok/8506198
SHAU;Siegershausen;2014-01-01;130;150.0;THURBO;Aus erhebungstechnischen Gründen steht die Angabe 2016 nicht zur Verfügung.;47.6109165826, 9.1682387933;http://lod.opentransportdata.swiss/didok/8506195
SIG;Siggenthal-Würenlingen;2014-01-01;1300;1600.0;SBB;;47.5206885967, 8.24066005982;http://lod.opentransportdata.swiss/didok/8503502
SIE;Sierre/Siders;2014-01-01;6100;6900.0;CFF;;46.2921149792, 7.53283036255;http://lod.opentransportdata.swiss/didok/8501509
SL;St-Léonard;2014-01-01;450;530.0;CFF;;46.2514824986, 7.41957042997;http://lod.opentransportdata.swiss/didok/8501507
STCH;Steinach;2014-01-01;450;500.0;SBB;;47.5008611902, 9.44212099652;http://lod.opentransportdata.swiss/didok/8516271
SM;St-Maurice;2014-01-01;5000;5900.0;CFF;;46.216363536, 7.00204915835;http://lod.opentransportdata.swiss/didok/8501403
STAE;Stäfa;2014-01-01;5500;6500.0;SBB;;47.2405237212, 8.72163122186;http://lod.opentransportdata.swiss/didok/8503107
SUHR;Suhr;2014-01-01;1400;1700.0;SBB;;47.3716326855, 8.08227404767;http://lod.opentransportdata.swiss/didok/8502103
UER;Uerikon;2014-01-01;2000;2400.0;SBB;Aus erhebungstechnischen Gründen ist die Aussagekraft der Angabe 2014 eingeschränkt und somit ein Vergleich mit der Angabe 2016 nicht sinnvoll.;47.2358565197, 8.75261073401;http://lod.opentransportdata.swiss/didok/8503108
TAEG;Tägerwilen-Gottlieben;2014-01-01;660;740.0;SBB;Aus erhebungstechnischen Gründen steht die Angabe 2016 nicht zur Verfügung.;47.6596173652, 9.13295927882;http://lod.opentransportdata.swiss/didok/8506132
TOA;Tobel-Affeltrangen;2014-01-01;250;300.0;THURBO;;47.5212973847, 9.03368895274;http://lod.opentransportdata.swiss/didok/8506183
VZ;Villaz-St-Pierre;2014-01-01;300;370.0;CFF;;46.7205784272, 6.96063985388;http://lod.opentransportdata.swiss/didok/8504024
TD;Tann-Dürnten;2014-01-01;160;190.0;SBB;;47.2683703417, 8.85270412923;http://lod.opentransportdata.swiss/didok/8503139
VTE;Villette VD;2014-01-01;100;110.0;CFF;;46.4953325352, 6.70728469954;http://lod.opentransportdata.swiss/didok/8501123
VD;Vauderens;2014-01-01;50;50.0;CFF;;46.6214485609, 6.85003132174;http://lod.opentransportdata.swiss/didok/8504021
UET;Uetikon;2014-01-01;4500;5500.0;SBB;;47.2590294057, 8.678774746;http://lod.opentransportdata.swiss/didok/8503105
TEN;Tenero;2014-01-01;1200;1300.0;FFS;;46.1774682553, 8.85022179541;http://lod.opentransportdata.swiss/didok/8505401
UTW;Uttwil;2014-01-01;410;440.0;SBB;;47.5860214293, 9.33968840224;http://lod.opentransportdata.swiss/didok/8506122
DUE;Dübendorf;2016-01-01;8000;9500.0;SBB;Aus erhebungstechnischen Gründen ist die Aussagekraft der Angabe 2014 eingeschränkt und somit ein Vergleich mit der Angabe 2016 nicht sinnvoll.;47.4000750283, 8.62340719058;http://lod.opentransportdata.swiss/didok/8503128
EGN;Egnach;2016-01-01;;;SBB;Aus erhebungstechnischen Gründen steht die Angabe 2016 nicht zur Verfügung.;47.5439914495, 9.38300007743;http://lod.opentransportdata.swiss/didok/8506309
DSB;Diesbach-Betschwanden;2016-01-01;120;140.0;SBB;;46.9461769693, 9.02436242331;http://lod.opentransportdata.swiss/didok/8503237
COS;Cossonay-Penthalaz;2016-01-01;2900;3400.0;CFF;;46.6060023579, 6.5236830353;http://lod.opentransportdata.swiss/didok/8501115
DEN;Denges-Echandens;2016-01-01;410;480.0;CFF;;46.5291203863, 6.54050855527;http://lod.opentransportdata.swiss/didok/8501045
DAY;Le Day;2014-01-01;790;830.0;CFF;;46.7172808195, 6.40051340587;http://lod.opentransportdata.swiss/didok/8501104
LUPF;Lupfig;2014-01-01;220;270.0;SBB;;47.4451758366, 8.21496733295;http://lod.opentransportdata.swiss/didok/8502237
PUI;Puidoux-Chexbres;2014-01-01;2000;2300.0;CFF;;46.493832083, 6.76568624893;http://lod.opentransportdata.swiss/didok/8504012
REC;Reconvilier;2014-01-01;540;630.0;CFF;;47.2352248694, 7.22741061293;http://lod.opentransportdata.swiss/didok/8500101
PIE;Pieterlen;2014-01-01;990;1200.0;SBB;;47.1714342219, 7.34019009864;http://lod.opentransportdata.swiss/didok/8500200
REID;Reiden;2014-01-01;1300;1500.0;SBB;;47.2414629092, 7.96875676951;http://lod.opentransportdata.swiss/didok/8502003
RAR;Raron;2014-01-01;640;730.0;SBB;;46.3062732767, 7.80150766492;http://lod.opentransportdata.swiss/didok/8501604
LAPR;Lancy-Pont-Rouge;2016-01-01;950;1200.0;CFF;;46.1888976308, 6.12533012554;http://lod.opentransportdata.swiss/didok/8516155
KGO;Küsnacht Goldbach;2016-01-01;1600;2000.0;SBB;;47.3268539021, 8.57595174932;http://lod.opentransportdata.swiss/didok/8503141
EVOU;Les Evouettes;2016-01-01;110;140.0;CFF;;46.3628591884, 6.87946504066;http://lod.opentransportdata.swiss/didok/8501425
KRM;Kriens Mattenhof;2016-01-01;1700;1900.0;ZB;;47.0266153509, 8.30236875;http://lod.opentransportdata.swiss/didok/8516351
KAI;Kaiserstuhl OW;2016-01-01;160;150.0;ZB;;46.8143668075, 8.17550583177;http://lod.opentransportdata.swiss/didok/8508311
DEU;Les Deurres;2016-01-01;360;420.0;CFF;;46.9855183801, 6.899149402;http://lod.opentransportdata.swiss/didok/8504231
LFG;Laufenburg;2016-01-01;790;880.0;SBB;;47.5597640916, 8.06127319304;http://lod.opentransportdata.swiss/didok/8500322
KLI;Klingnau;2016-01-01;570;680.0;SBB;;47.5820892736, 8.24881875083;http://lod.opentransportdata.swiss/didok/8516176
KWL;Kesswil;2016-01-01;260;280.0;SBB;;47.5954978156, 9.31740544782;http://lod.opentransportdata.swiss/didok/8506123
RSHF;Rorschach Hafen;2016-01-01;1300;1400.0;SBB;Aus erhebungstechnischen Gründen ist die Aussagekraft der Angabe 2016 eingeschränkt und somit ein Vergleich mit der Angabe 2014 nicht sinnvoll.;47.4785940343, 9.49290567677;http://lod.opentransportdata.swiss/didok/8506306
SCHN;Schlattingen;2016-01-01;;;SBB;Aus erhebungstechnischen Gründen steht die Angabe 2016 nicht zur Verfügung.;47.6666263051, 8.77041438581;http://lod.opentransportdata.swiss/didok/8503429
RSST;Rorschach Stadt;2016-01-01;2300;2700.0;SBB;;47.4754476463, 9.48971870021;http://lod.opentransportdata.swiss/didok/8506322
ROBG;Roggwil-Berg;2016-01-01;330;380.0;SOB;;47.4855867173, 9.39201271083;http://lod.opentransportdata.swiss/didok/8506394
RUES;Rüschlikon;2016-01-01;2900;3400.0;SBB;;47.3071323847, 8.55515146936;http://lod.opentransportdata.swiss/didok/8503201
RE;Renan BE;2016-01-01;170;200.0;CFF;;47.1257120451, 6.92537048378;http://lod.opentransportdata.swiss/didok/8504312
RUE;Rüti ZH;2016-01-01;10000;11400.0;SBB;;47.2604821005, 8.8540677825;http://lod.opentransportdata.swiss/didok/8503121
REID;Reiden;2016-01-01;1500;1700.0;SBB;;47.2414629092, 7.96875676951;http://lod.opentransportdata.swiss/didok/8502003
RUS;Russin;2016-01-01;270;320.0;CFF;;46.187771194, 6.01755436893;http://lod.opentransportdata.swiss/didok/8501002
ROL;Rolle;2016-01-01;3700;4500.0;CFF;;46.4627356609, 6.3364081818;http://lod.opentransportdata.swiss/didok/8501033
OGL;Oberglatt;2016-01-01;6100;7100.0;SBB;Aus erhebungstechnischen Gründen ist die Aussagekraft der Angabe 2014 eingeschränkt und somit ein Vergleich mit der Angabe 2016 nicht sinnvoll.;47.4702034518, 8.51060488949;http://lod.opentransportdata.swiss/didok/8503312
NY;Nyon;2016-01-01;18000;21700.0;CFF;Ohne NstCM.;46.3844060313, 6.23597429701;http://lod.opentransportdata.swiss/didok/8501030
RZO;Ranzo-S. Abbondio;2016-01-01;50;50.0;FFS;;46.1169976034, 8.77653228958;http://lod.opentransportdata.swiss/didok/8505408
ORDD;Oberrieden Dorf;2016-01-01;1500;1800.0;SBB;;47.2767239721, 8.57763334225;http://lod.opentransportdata.swiss/didok/8502209
REB;Rebstein-Marbach;2016-01-01;270;310.0;SBB;;47.3926373927, 9.58675061708;http://lod.opentransportdata.swiss/didok/8506318
OLH;Olten Hammer;2016-01-01;400;470.0;SBB;;47.3485517008, 7.8977062126;http://lod.opentransportdata.swiss/didok/8500217
RAET;Räterschen;2016-01-01;650;740.0;SBB;;47.4986756956, 8.79499713285;http://lod.opentransportdata.swiss/didok/8506015
POR;Porrentruy;2016-01-01;2800;3300.0;CFF;;47.420909698, 7.08007451034;http://lod.opentransportdata.swiss/didok/8500126
NR;Niederried;2016-01-01;140;140.0;ZB;;46.7164243262, 7.92866950781;http://lod.opentransportdata.swiss/didok/8508302
RAR;Raron;2016-01-01;650;750.0;SBB;;46.3062732767, 7.80150766492;http://lod.opentransportdata.swiss/didok/8501604
MX;Montreux;2016-01-01;17600;18400.0;CFF;Inklusive Bahnverkehr MVR.;46.4358743527, 6.91043275261;http://lod.opentransportdata.swiss/didok/8501300
MSCH;Münsterlingen-Scherzingen;2016-01-01;290;310.0;SBB;;47.6334235783, 9.2269983596;http://lod.opentransportdata.swiss/didok/8506126
NRRB;Niederrickenbach Station;2016-01-01;60;50.0;ZB;;46.9278346971, 8.39619411198;http://lod.opentransportdata.swiss/didok/8508384
NK;Neukirch-Egnach;2016-01-01;310;350.0;SOB;;47.5387945817, 9.37583489866;http://lod.opentransportdata.swiss/didok/8506398
MOER;Mörschwil;2016-01-01;280;310.0;SBB;;47.4747707737, 9.41437284119;http://lod.opentransportdata.swiss/didok/8506304
NB;Niederbipp;2016-01-01;630;730.0;SBB;;47.2703963923, 7.69480825358;http://lod.opentransportdata.swiss/didok/8500211
NH;Neuhausen;2016-01-01;1600;1800.0;SBB;;47.683134176, 8.62491498919;http://lod.opentransportdata.swiss/didok/8503423
MIT;Mitlödi;2016-01-01;280;320.0;SBB;;47.0101282312, 9.08119403324;http://lod.opentransportdata.swiss/didok/8503232
MU;Muttenz;2016-01-01;4900;6000.0;SBB;;47.5335803903, 7.64787914262;http://lod.opentransportdata.swiss/didok/8500020
MOLS;Mols;2016-01-01;90;100.0;SBB;;47.1129874927, 9.27680343664;http://lod.opentransportdata.swiss/didok/8509415
WWAL;Winterthur Wallrüti;2016-01-01;1200;1400.0;SBB;Aus erhebungstechnischen Gründen sind sowohl die Aussagekraft der Angabe 2014 als auch diejenige der Angabe 2016 eingeschränkt und somit ein Vergleich der beiden Angaben nicht sinnvoll.;47.516719, 8.76086862997;http://lod.opentransportdata.swiss/didok/8506038
WO;Wohlen;2016-01-01;5300;6400.0;SBB;Ohne BDWM.;47.3484618374, 8.26978121872;http://lod.opentransportdata.swiss/didok/8502213
WGR;Winterthur Grüze;2016-01-01;1800;2200.0;SBB;;47.4987506397, 8.75103748096;http://lod.opentransportdata.swiss/didok/8506001
